date,description,,
2024. 10. 2,공정위 KM '콜 차단' 조치 발표 브리핑,CR전략팀,,* 이벤트가 발생한 날짜와 이벤트를 입력해 주시면 됩니다.
2024. 10. 6,"KM 국토위, 산자위 일반증인 채택 관련 보도",대외정책팀,,* 작성자는 선택사항입니다. 부서나 작성자 편하게 입력해 주시거나 비워두셔도 됩니다.
2024. 10. 7,공정위 DGT 부당수수료 심사보고서 KM 발송,CR전략팀,,
2024. 10. 7,KM-대한적십자 MOU 체결 보도,경제연구소,,
2024. 10. 8,티머니 모빌리티 KM 소수지분 투자 관련 보도,CR전략팀,,
2024. 10. 15,KM 대리기사 금품 절도 사건 보도,경제연구소,,
2024. 10. 16,카카오내비 '요즘뜨는' 서비스 출시,경제연구소,,
2024. 10. 18,KM-삼성물산 MOU 체결 보도,경제연구소,,
2024. 10. 22,택시연대 남부지검 집회,CR전략팀,,
2024. 10. 22,"카카오, 이프카카오 2024에서 AI서비스 '카나나' 공개",경제연구소,,
2024. 10. 23,KM 디벨로퍼스 '기술 블로그' 오픈,경제연구소,,
2024. 10. 24,국정감사 KM 증인출석 불발 관련 보도,대외정책팀,,
2024. 10. 24,국정감사 윤한홍 위원장 KM '분식회계 혐의' 질책 관련 보도,대외정책팀,,
2024. 10. 27,국정감사 허성무 의원 KM '콜 차단' 질책 관련 보도,대외정책팀,,
2024. 10. 28,KM-로보티즈 MOU 체결 보도,경제연구소,,
2024. 10. 28,"아이나비모빌리티, '가맹택시' 사업 진출",경제연구소,,
2024. 10. 30,KM-BGF리테일 MOU 체결 보도,경제연구소,,
2024. 10. 31,"카카오 김범수 위원장, 보석으로 석방",경제연구소,,
2024. 11. 4,서울시 행정감사 참석,CR전략팀,,
2024. 11. 5,"검찰, ‘콜 몰아주기·차단 의혹’ 카카오모빌리티 압수수색",경제연구소,,
2024. 11. 5,금융위 '중과실' 조치 사전 보도,CR전략팀,,
2024. 11. 6,금융위 증권선물위원회 '중과실' 조치 의결,CR전략팀,,
2024. 11. 18,KM-KD 통합상품 (외부명칭 '맞춤기사') 오픈,경제연구소,,
